Product ID,Product Name,Category,Keywords Supported,Priority,Notes,Affiliate Link,Image URL
memory-01,Barkbox Orthopedic Dog Bed with Memory Foam,Beds,memory foam dog beds,high,Already in keywords but needs variety,https://amzn.to/45OvHnw,https://m.media-amazon.com/images/I/51TMx03ocAL._AC_SL1200_.jpg
feather-01,Interactive Feather Cat Toys,Toys,cat feather toys interactive,medium,Already in keywords but needs variety,https://amzn.to/4lw0gnb,https://m.media-amazon.com/images/I/61KGy9p-fAL._AC_SL1500_.jpg
puzzle-01,Nina Ottosson Dog Puzzle Toys,Toys,best dog puzzle toys,high,Already in keywords but needs variety,https://amzn.to/3HvIB0P,https://m.media-amazon.com/images/I/81YiWtmTBEL._AC_SL1500_.jpg
grooming-02,Tweezerman Dog and Cat Slicker Brush for Large Pets,Grooming,cat grooming brush,medium,Already in keywords but needs variety,https://amzn.to/4lrDsVM,https://m.media-amazon.com/images/I/81jkR4XTEbL._AC_SL1500_.jpg
supplements-01,Dog Multivitamin - 10 in 1 Dog Vitamins ,Health,pet health supplements,high,Already in keywords but needs variety,https://amzn.to/4lom8Rq,https://m.media-amazon.com/images/I/61GeJYB8EwL._AC_SL1000_.jpg
training-02,ORIJEN Epic Bites Freeze,Training,dog training treats,medium,Already in keywords but needs variety,https://amzn.to/41EOcsu,https://m.media-amazon.com/images/I/81MAOE4-c8L._AC_SL1500_.jpg
scratching-01,Premium Cat Scratching Posts,Scratching,cat scratching post,medium,Already in keywords but needs variety,https://amzn.to/41GCZrs,https://m.media-amazon.com/images/I/717LhjmdrhL._AC_SL1500_.jpg
largebed-01,Extra Large Dog Beds for Big Breeds,Beds,dog bed for large breeds,high,Already in keywords but needs variety,https://amzn.to/3JaUABH,https://m.media-amazon.com/images/I/71jjBYspvtL._AC_SL1500_.jpg
dental-05,Professional Pet Dental Care Products,Dental,pet dental care products,high,Already in keywords but needs variety,https://amzn.to/3Jx9AcY,https://m.media-amazon.com/images/I/71tgujdUgTL._AC_SL1500_.jpg
litterbox-01,Premium Cat Litter Boxes,Litter,cat litter box,medium,Already in keywords but needs variety,https://amzn.to/413NmFL,https://m.media-amazon.com/images/I/71Q99GCPCNL._AC_SL1500_.jpg
leashcollar-01,Premium Dog Leash and Collar Sets,Leashes,dog leash and collar,high,Already in keywords but needs variety,https://amzn.to/4oDJPrO,https://m.media-amazon.com/images/I/81RbM5x4T7S._AC_SL1500_.jpg
indoorcat-01,Premium Indoor Cat Food,Food,best cat food for indoor cats,high,Already in keywords but needs variety,https://amzn.to/45rycLD,https://m.media-amazon.com/images/I/71aULo7mmvL._AC_SL1500_.jpg
kong-01,KONG Dog Toys Collection,Toys,KONG dog toys review,medium,Already in keywords but needs variety,https://amzn.to/3J6sDLl,https://m.media-amazon.com/images/I/716ORfD-dBL._AC_SL1200_.jpg
harnesscollar-01,Dog Harness vs Collar Comparison,Harnesses,dog harness vs collar,high,Already in keywords but needs variety,https://amzn.to/3UqvxNf,https://m.media-amazon.com/images/I/7139Xa3+1kL._AC_SL1500_.jpg
clumping-01,Premium Clumping Cat Litter,Litter,best cat litter clumping,medium,Already in keywords but needs variety,https://amzn.to/45xTQ0T,https://m.media-amazon.com/images/I/71zlM2HWO0L._AC_SL1500_.jpg
omega-01,Premium Omega 3 Supplements for Dogs,Health,omega 3 supplements for dogs,high,Already in keywords but needs variety,https://amzn.to/4oNnTdU,https://m.media-amazon.com/images/I/51bFXcHAjIL._AC_SL1000_.jpg
crate-03,Professional Dog Training Crates,Training,best dog crate for training,high,Already in keywords but needs variety,https://amzn.to/4mCHZW2,https://m.media-amazon.com/images/I/91-02z09PbL._AC_SL1500_.jpg
airline-01,Airline Approved Pet Carriers,Carriers,pet carrier for airline travel,medium,Already in keywords but needs variety,https://amzn.to/4fzW58A,https://m.media-amazon.com/images/I/81gqQnt7waL._AC_SL1500_.jpg
