filename,category,description,keywords_matched,priority,unsplash_url
hero-pet-water-fountain.webp,hydration,Pet drinking from water fountain,water fountain|hydration|fresh water,medium,https://images.unsplash.com/photo-1538072038342-8626f1928500?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-cooling-mat-summer.webp,seasonal,Pet on cooling mat or hot weather,cooling mat|summer|hot weather|comfort,low,https://images.unsplash.com/photo-1597674078063-87f8b9e336bc?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-winter-pet-coat.webp,seasonal,Pet wearing winter coat or cold weather,winter coat|cold weather|warmth,low,https://images.unsplash.com/photo-1705620719335-27064106286a?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-holiday-safety.webp,seasonal,Pet with holiday items or safety focus,holiday safety|seasonal|hazards,low,https://images.unsplash.com/photo-1514328525431-eac296c01d82?q=80&w=1618&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-puppy-kitten-care.webp,young_pets,Puppy and kitten together or young pet care,puppy|kitten|young pets|baby animals,medium,https://images.unsplash.com/photo-1450778869180-41d0601e046e?q=80&w=1886&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-senior-pets-care.webp,senior_pets,Senior dog and cat or elderly pet care,senior pets|elderly|older animals|geriatric,medium,https://cdn.pixabay.com/photo/2017/09/01/21/51/golden-retriever-2705639_1280.jpg
hero-multi-pet-household.webp,general,Multiple pets together in home setting,multiple pets|household|family pets,medium,https://images.unsplash.com/photo-1749024362878-d0dbe102594d?q=80&w=1742&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-owner-bonding.webp,general,Pet owner cuddling or playing with pets,bonding|love|companionship|family,high,https://images.unsplash.com/photo-1518914781460-a3ada465edec?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-vet-examination.webp,medical,Pet being examined by veterinarian,veterinarian|examination|medical|professional,medium,https://images.pexels.com/photos/6235018/pexels-photo-6235018.jpeg
hero-pet-pharmacy.webp,medical,Pet medications or pharmacy setting,medications|prescription|pharmacy|treatment,low,https://cdn.pixabay.com/photo/2020/08/13/04/38/cat-5484141_1280.jpg
hero-indoor-cats.webp,cats,Indoor cat setup or house cat environment,indoor cats|house cats|apartment living,medium,https://images.unsplash.com/photo-1739481681908-8a19a8e5e88e?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-large-breed-dogs.webp,dogs,Large breed dogs or size-specific content,large breed|big dogs|giant breeds,medium,https://images.pexels.com/photos/38066/pexels-photo-38066.jpeg
hero-small-breed-dogs.webp,dogs,Small breed dogs or toy breeds,small breed|toy dogs|little dogs,low,https://images.unsplash.com/photo-1478991031579-5f22c0ee9c9f?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-weight-management.webp,health,Overweight pet or weight scale,weight management|obesity|diet|fitness,low,https://images.unsplash.com/photo-1524014998093-b1010ae76d63?q=80&w=1734&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-allergies.webp,health,Pet with allergy symptoms or hypoallergenic items,allergies|sensitive|hypoallergenic|reactions,medium,https://images.pexels.com/photos/6125810/pexels-photo-6125810.jpeg
hero-pet-diabetes.webp,health,Diabetic pet care or blood sugar monitoring,diabetes|blood sugar|medical condition,low,https://images.unsplash.com/photo-1727466443374-06d2bf46f721?q=80&w=1640&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-pet-kidney-disease.webp,health,Pet with kidney issues or special diet,kidney disease|renal|special diet,low,https://images.pexels.com/photos/8434637/pexels-photo-8434637.jpeg
hero-pet-urinary-health.webp,health,Pet urinary health focus,urinary health|bladder|urinary tract,low,https://images.unsplash.com/photo-1651087449633-369a95fb8f2b?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
hero-biodegradable-waste-bags.webp,eco,Eco-friendly pet waste bags or green products,biodegradable|eco-friendly|sustainable|green,low,https://images.pexels.com/photos/25753346/pexels-photo-25753346.jpeg
